Years of Experience,Age,Gender,Education Level,Job Role,Location,Industry,Salary (Annual)
4.6,55,Male,Master's,Product Manager,Berlin,Manufacturing,126592.86
9.4,49,Female,Master's,Data Scientist,Bengaluru,Tech,51160.25
7.5,64,Male,Master's,Civil Engineer,Chicago,Tech,175754.67
22.3,62,Female,PhD,Cybersecurity Analyst,New York,Retail,263172.99
1.0,60,Female,Master's,Financial Analyst,Delhi,Consulting,32025.22
17.1,43,Female,Bachelor's,Marketing Specialist,Bengaluru,Tech,44271.45
22.9,38,Female,Master's,Data Scientist,Remote_USA,Tech,177093.56
26.3,55,Male,PhD,Teacher/Professor,Austin,Pharmaceutical,233042.45
10.3,27,Female,Master's,Marketing Specialist,Bengaluru,Pharmaceutical,34269.77
24.6,27,Female,Master's,Sales Rep,Singapore,Tech,168334.06
3.3,55,Male,Master's,Software Engineer,Chicago,Education,131093.91
25.4,22,Male,Bachelor's,Cloud Engineer,Delhi,Healthcare,43644.09
3.8,31,Female,Bachelor's,Marketing Specialist,Remote_Bengaluru,Education,21972.63
11.9,42,Female,Bachelor's,Data Scientist,Remote_India,Government,32357.33
23.9,26,Male,PhD,Marketing Specialist,Remote_USA,Tech,193590.99
4.5,23,Female,Master's,HR Manager,Delhi,Pharmaceutical,26017.01
6.9,43,Female,Bachelor's,Financial Analyst,Berlin,Healthcare,93486.16
21.7,23,Male,PhD,Consultant,New York,Retail,213483.4
21.6,31,Other,Bachelor's,Marketing Specialist,Bengaluru,Consulting,48197.65
19.2,55,Female,Bachelor's,Cloud Engineer,Seattle,Automotive,207603.32
20.8,37,Female,Master's,Software Engineer,Bengaluru,Tech,56614.19
16.3,60,Female,Master's,Software Engineer,Bengaluru,Tech,59173.99
7.6,43,Male,Bachelor's,Data Scientist,Remote_India,Tech,32190.12
10.4,33,Male,Bachelor's,Consultant,San Francisco,Food & Beverage,157120.27
5.4,45,Male,Bachelor's,HR Manager,Mumbai,Manufacturing,28553.29
27.3,61,Male,Bachelor's,Cybersecurity Analyst,Delhi,Education,48907.56
17.5,59,Male,Bachelor's,Consultant,Mumbai,Tech,52030.11
12.0,31,Female,Bachelor's,Sales Rep,Remote_India,Government,24068.52
13.9,56,Female,Bachelor's,Healthcare Administrator,Bengaluru,Media,46192.82
28.4,53,Female,Bachelor's,Data Scientist,Sydney,Consulting,211916.93
4.6,28,Female,High School,Civil Engineer,Mumbai,Finance,25483.99
17.6,42,Female,Bachelor's,UX Designer,Delhi,Tech,39467.96
15.2,41,Male,Master's,HR Manager,London,Education,162274.14
18.3,47,Male,Master's,Consultant,Chicago,Manufacturing,184061.9
0.5,25,Female,Bachelor's,Marketing Specialist,New York,Tech,99283.01
26.2,43,Female,High School,Software Engineer,Hyderabad,Education,40464.5
28.0,36,Male,Bachelor's,UX Designer,Mumbai,Finance,54211.67
17.0,61,Female,Bachelor's,Financial Analyst,Toronto,Pharmaceutical,143204.07
20.9,42,Male,Bachelor's,Civil Engineer,Singapore,Retail,164087.94
27.7,36,Female,Bachelor's,UX Designer,Bengaluru,Tech,57295.59
21.2,43,Female,Bachelor's,Cloud Engineer,Bengaluru,Retail,49527.55
4.6,49,Female,Master's,UX Designer,Bengaluru,Finance,39228.81
17.3,35,Other,Bachelor's,Financial Analyst,Remote_USA,Tech,149751.17
18.2,48,Female,Bachelor's,Teacher/Professor,Remote_Bengaluru,Media,39889.26
12.7,62,Female,Master's,Marketing Specialist,Remote_India,Tech,39531.14
22.1,61,Female,Bachelor's,DevOps Engineer,Mumbai,Finance,56341.41
28.0,49,Female,High School,HR Manager,New York,Tech,204886.34
27.8,47,Female,Bachelor's,Financial Analyst,Chicago,Tech,203003.46
13.5,23,Male,Bachelor's,Software Engineer,Chicago,Finance,138035.2
3.4,46,Male,Master's,UX Designer,London,Tech,150817.15
29.5,24,Female,Bachelor's,Product Manager,San Francisco,Education,215225.17
25.2,29,Male,Bachelor's,Consultant,Remote_Bengaluru,Tech,44029.82
3.7,65,Male,Bachelor's,Data Scientist,Hyderabad,Consulting,36622.37
27.6,54,Other,High School,Data Scientist,Remote_India,Tech,45106.23
26.1,63,Female,Master's,Data Scientist,Bengaluru,Tech,74371.56
15.6,56,Female,Master's,Software Engineer,Hyderabad,Finance,43571.86
17.7,27,Male,Bachelor's,Product Manager,Delhi,Aerospace,36439.95
12.0,60,Male,Bachelor's,Cybersecurity Analyst,Remote_India,Education,34198.42
1.6,44,Male,Bachelor's,Teacher/Professor,Bengaluru,Pharmaceutical,29373.97
10.1,46,Male,Master's,Consultant,Bengaluru,Tech,50173.81
24.1,64,Male,High School,Teacher/Professor,Chennai,Media,42058.09
0.1,40,Male,High School,Data Scientist,San Francisco,Tech,130514.11
10.0,26,Female,Bachelor's,Cybersecurity Analyst,Bengaluru,Tech,34293.49
11.9,32,Female,Bachelor's,Software Engineer,Tokyo,Education,82545.64
16.1,33,Male,Bachelor's,Product Manager,New York,Finance,173196.05
27.6,31,Male,High School,Marketing Specialist,Remote_USA,Food & Beverage,155446.45
10.4,29,Female,Bachelor's,Software Engineer,Chicago,Tech,136519.73
10.4,45,Male,Bachelor's,Consultant,Chennai,Food & Beverage,30960.04
22.1,49,Female,Bachelor's,UX Designer,San Francisco,Education,212346.4
13.6,62,Male,Master's,Teacher/Professor,Chennai,Retail,36208.2
6.7,57,Male,High School,Sales Rep,San Francisco,Tech,172006.18
13.6,58,Male,Bachelor's,Data Scientist,San Francisco,Finance,211622.73
4.2,42,Male,Master's,Consultant,Remote_India,Automotive,26676.53
5.3,29,Female,Bachelor's,Data Scientist,Remote_USA,Finance,119070.28
15.0,30,Female,Master's,Sales Rep,Tokyo,Consulting,92900.7
12.6,36,Female,Master's,Software Engineer,New York,Food & Beverage,178580.71
27.4,61,Male,Bachelor's,Marketing Specialist,Bengaluru,Finance,64517.26
10.9,39,Female,PhD,HR Manager,San Francisco,Retail,167266.12
17.4,63,Female,Bachelor's,UX Designer,Remote_USA,Consulting,152721.92
19.0,41,Female,Bachelor's,DevOps Engineer,Singapore,Tech,191470.65
0.4,27,Male,Bachelor's,Cybersecurity Analyst,Berlin,Tech,81530.45
19.9,33,Male,Bachelor's,Consultant,New York,Healthcare,183636.69
5.3,23,Female,Master's,Consultant,Delhi,Finance,27475.97
28.8,28,Female,Master's,Data Scientist,Chennai,Manufacturing,44621.52
4.5,37,Male,Master's,HR Manager,Seattle,Tech,147698.95
12.4,24,Male,PhD,Data Scientist,San Francisco,Logistics,197763.46
2.6,24,Female,Master's,Software Engineer,Toronto,Tech,84438.72
29.9,48,Female,Master's,Healthcare Administrator,Tokyo,Education,152421.15
15.1,64,Male,Bachelor's,Marketing Specialist,Singapore,Retail,157415.61
17.9,61,Female,Bachelor's,UX Designer,Remote_Bengaluru,Tech,45080.33
2.0,59,Female,High School,Product Manager,Chennai,Tech,28706.07
22.5,54,Female,Master's,Marketing Specialist,Remote_USA,Pharmaceutical,183579.62
6.3,49,Female,Bachelor's,Software Engineer,Austin,Government,136328.21
26.9,22,Male,High School,Software Engineer,San Francisco,Finance,230185.79
6.2,29,Female,High School,Software Engineer,Hyderabad,Healthcare,22206.24
5.7,58,Male,Bachelor's,Sales Rep,Remote_Bengaluru,Finance,35126.89
1.1,53,Female,Bachelor's,Marketing Specialist,London,Tech,122126.85
14.2,64,Female,Bachelor's,Software Engineer,Toronto,Consulting,143234.59
16.9,58,Male,Master's,Consultant,Berlin,Media,171164.53
2.0,25,Female,Bachelor's,Data Scientist,Singapore,Finance,92225.45
23.3,51,Other,Master's,HR Manager,Seattle,Food & Beverage,222394.97
13.6,27,Male,Bachelor's,Healthcare Administrator,Remote_India,Tech,31796.34
15.7,40,Female,High School,Consultant,Delhi,Consulting,35448.13
13.2,53,Female,Bachelor's,Cybersecurity Analyst,Seattle,Healthcare,160737.9
12.0,30,Female,Bachelor's,Cloud Engineer,Singapore,Healthcare,143934.88
16.8,33,Male,High School,Sales Rep,Toronto,Healthcare,110380.7
4.7,32,Male,Bachelor's,Consultant,San Francisco,Finance,143376.08
5.5,37,Male,High School,Civil Engineer,New York,Manufacturing,109182.4
25.9,22,Female,Bachelor's,Product Manager,Hyderabad,Manufacturing,38134.31
28.4,42,Male,Bachelor's,Data Scientist,Delhi,Finance,52247.18
11.2,51,Female,Master's,Cloud Engineer,Sydney,Media,158255.29
8.1,34,Male,Master's,Consultant,Seattle,Finance,156092.86
19.3,55,Female,Bachelor's,Data Scientist,San Francisco,Manufacturing,230918.85
12.3,25,Male,PhD,UX Designer,Seattle,Tech,180730.37
0.8,49,Male,Bachelor's,Teacher/Professor,New York,Tech,123718.34
4.7,59,Male,Master's,Financial Analyst,New York,Finance,171750.38
21.5,52,Male,Master's,HR Manager,Toronto,Education,153049.81
19.8,48,Female,Master's,Consultant,Remote_USA,Education,169768.04
0.8,26,Female,Bachelor's,Marketing Specialist,Bengaluru,Finance,21139.91
6.7,46,Female,Bachelor's,Financial Analyst,New York,Tech,150349.21
6.9,24,Female,High School,Consultant,Chicago,Finance,108666.89
20.2,54,Female,High School,Consultant,Remote_Bengaluru,Consulting,44267.08
0.6,25,Female,Bachelor's,Marketing Specialist,Delhi,Consulting,16896.76
3.1,46,Female,Bachelor's,Product Manager,Remote_India,Tech,24753.99
24.0,41,Female,Bachelor's,UX Designer,Bengaluru,Tech,51343.09
5.4,55,Male,High School,DevOps Engineer,Chicago,Manufacturing,133289.82
19.6,47,Female,Master's,Software Engineer,Mumbai,Tech,56743.72
7.1,26,Male,Master's,Data Scientist,Remote_USA,Tech,125231.49
3.0,56,Female,PhD,Sales Rep,London,Tech,162795.54
7.3,49,Female,Bachelor's,Civil Engineer,Chicago,Healthcare,127123.85
21.7,50,Male,Master's,Data Scientist,Chennai,Retail,45693.35
25.7,30,Male,Master's,Product Manager,San Francisco,Education,235961.31
24.9,59,Female,Bachelor's,Software Engineer,Hyderabad,Finance,53240.71
11.9,27,Female,Bachelor's,Consultant,Toronto,Manufacturing,88665.7
20.0,40,Male,PhD,Data Scientist,Delhi,Tech,58357.02
6.1,65,Female,Bachelor's,UX Designer,Delhi,Media,32692.5
8.8,32,Female,Bachelor's,UX Designer,Sydney,Retail,104341.36
26.9,23,Female,Bachelor's,Cybersecurity Analyst,Chennai,Education,35591.51
0.4,65,Other,High School,UX Designer,Seattle,Tech,125719.05
2.6,65,Female,Master's,Software Engineer,Chicago,Tech,146540.3
6.2,30,Male,Master's,Financial Analyst,Hyderabad,Healthcare,28318.27
0.8,42,Female,Bachelor's,DevOps Engineer,Remote_India,Education,20889.9
5.4,45,Female,Bachelor's,Marketing Specialist,Chicago,Tech,124367.61
17.5,55,Male,Bachelor's,Healthcare Administrator,Remote_USA,Logistics,149406.32
12.6,43,Male,Bachelor's,Civil Engineer,Singapore,Food & Beverage,138808.1
26.8,24,Male,Bachelor's,Software Engineer,San Francisco,Retail,230183.67
24.5,33,Female,Master's,HR Manager,Bengaluru,Logistics,54397.59
10.3,49,Female,High School,Product Manager,New York,Tech,161959.64
7.8,51,Female,Bachelor's,Financial Analyst,London,Tech,145533.81
11.4,47,Female,Master's,Product Manager,San Francisco,Tech,213532.58
17.7,42,Female,Bachelor's,Product Manager,Hyderabad,Education,36060.57
8.0,49,Male,Master's,Cloud Engineer,New York,Tech,207741.82
18.7,47,Male,Master's,Data Scientist,Hyderabad,Logistics,43675.04
12.3,54,Male,Master's,Cybersecurity Analyst,London,Tech,193100.85
16.6,42,Male,High School,Software Engineer,Bengaluru,Finance,43734.04
13.1,56,Female,High School,Software Engineer,Mumbai,Media,41676.4
8.8,55,Female,Bachelor's,Civil Engineer,Bengaluru,Tech,44252.87
28.5,62,Male,Bachelor's,Marketing Specialist,Chicago,Tech,209803.23
22.9,39,Female,Master's,Consultant,Remote_Bengaluru,Education,46480.44
4.2,32,Female,Master's,Data Scientist,Chicago,Finance,133903.02
26.1,44,Male,Master's,Financial Analyst,Remote_India,Tech,47925.2
14.6,43,Male,PhD,Consultant,Austin,Finance,201084.74
26.8,38,Male,Master's,Marketing Specialist,Seattle,Healthcare,214441.5
24.0,26,Male,Bachelor's,Sales Rep,Remote_USA,Logistics,150466.74
12.8,65,Female,Bachelor's,DevOps Engineer,Delhi,Media,40874.63
0.7,32,Male,Master's,HR Manager,Bengaluru,Finance,32682.34
8.1,51,Male,Bachelor's,Cybersecurity Analyst,Remote_India,Finance,32228.72
16.2,36,Female,High School,Consultant,Seattle,Healthcare,148340.22
19.0,48,Other,Bachelor's,Consultant,New York,Logistics,203342.02
7.7,56,Male,Master's,Software Engineer,Remote_Bengaluru,Tech,45156.7
4.2,54,Male,High School,Product Manager,London,Finance,129971.0
25.0,41,Male,Master's,Civil Engineer,New York,Manufacturing,228481.94
29.5,37,Male,Master's,Data Scientist,Delhi,Logistics,52223.43
15.8,55,Male,Bachelor's,Software Engineer,Remote_USA,Tech,174936.06
5.2,23,Female,High School,Product Manager,Remote_Bengaluru,Tech,24389.6
8.2,56,Male,Bachelor's,Data Scientist,Berlin,Tech,149488.74
0.6,61,Male,Master's,Cloud Engineer,London,Tech,169120.67
27.4,49,Female,Master's,Civil Engineer,Remote_Bengaluru,Education,50192.94
3.5,60,Male,Master's,Sales Rep,Chicago,Consulting,130325.42
17.3,27,Male,Bachelor's,Software Engineer,London,Education,145216.72
8.2,30,Male,High School,Consultant,Mumbai,Tech,31401.45
16.6,41,Other,High School,Marketing Specialist,New York,Tech,181571.61
19.5,22,Male,Master's,DevOps Engineer,Bengaluru,Tech,49186.84
24.9,29,Female,Bachelor's,Financial Analyst,Sydney,Finance,152854.93
6.2,44,Female,Bachelor's,Product Manager,Berlin,Pharmaceutical,114041.7
0.3,24,Male,Bachelor's,Sales Rep,San Francisco,Tech,116158.47
4.1,25,Other,High School,DevOps Engineer,Remote_India,Tech,20122.94
27.0,46,Male,Bachelor's,Consultant,Remote_Bengaluru,Finance,50744.81
26.2,59,Male,Bachelor's,HR Manager,Chicago,Healthcare,207550.12
17.9,36,Female,Bachelor's,Data Scientist,Bengaluru,Healthcare,47335.45
18.0,42,Female,High School,Consultant,Hyderabad,Media,33537.17
20.0,56,Female,Master's,Consultant,Bengaluru,Tech,63093.7
5.3,35,Male,Master's,Product Manager,San Francisco,Consulting,174296.68
27.4,57,Male,Bachelor's,Sales Rep,Hyderabad,Finance,49933.58
12.6,33,Female,Master's,Product Manager,Toronto,Finance,122572.48
11.5,38,Male,Bachelor's,Data Scientist,Chennai,Automotive,33780.97
15.6,60,Male,Bachelor's,Software Engineer,Remote_Bengaluru,Tech,50264.24
1.4,30,Male,Master's,Product Manager,Remote_USA,Education,99166.28
5.0,56,Male,Master's,Financial Analyst,Austin,Finance,159536.04
22.1,34,Female,Master's,Software Engineer,Chennai,Retail,42359.56
2.5,36,Male,High School,Product Manager,Remote_USA,Pharmaceutical,92856.5
18.1,39,Other,High School,Cybersecurity Analyst,Berlin,Government,127254.74
7.4,54,Male,Master's,Marketing Specialist,San Francisco,Media,192451.71
11.7,27,Female,Bachelor's,Marketing Specialist,Bengaluru,Education,28563.02
8.7,48,Male,Bachelor's,UX Designer,Bengaluru,Tech,41068.13
10.7,44,Male,Master's,HR Manager,Sydney,Consulting,143988.23
21.6,48,Male,Master's,Data Scientist,Austin,Consulting,194332.27
8.9,55,Male,Master's,Teacher/Professor,New York,Tech,185900.69
17.0,59,Female,Bachelor's,Software Engineer,Seattle,Healthcare,201936.99
14.3,35,Other,Master's,HR Manager,London,Media,149708.3
19.9,57,Female,High School,Product Manager,Austin,Healthcare,180527.58
28.1,29,Male,High School,Consultant,Seattle,Finance,207781.59
22.0,56,Male,Master's,Financial Analyst,San Francisco,Government,255109.14
6.4,40,Male,High School,Sales Rep,Remote_India,Tech,25459.73
0.9,51,Female,Bachelor's,Data Scientist,New York,Tech,156362.84
7.9,35,Female,Master's,Marketing Specialist,Remote_USA,Consulting,122673.39
17.9,41,Female,Bachelor's,DevOps Engineer,Chicago,Finance,157480.45
1.5,46,Male,Bachelor's,Civil Engineer,Delhi,Manufacturing,24282.15
14.9,61,Female,Bachelor's,Software Engineer,Remote_India,Tech,41017.03
17.9,45,Male,Bachelor's,UX Designer,Mumbai,Finance,45121.26
10.0,35,Female,Bachelor's,Cloud Engineer,Toronto,Tech,125697.86
23.1,47,Female,Master's,Sales Rep,Sydney,Logistics,176257.64
3.2,59,Female,Master's,HR Manager,Remote_USA,Healthcare,132208.58
2.3,44,Female,Bachelor's,Cloud Engineer,Remote_Bengaluru,Finance,27710.46
21.8,43,Male,Master's,Cybersecurity Analyst,Remote_India,Tech,44487.83
14.9,40,Female,High School,Sales Rep,Berlin,Tech,118556.17
20.7,24,Male,Bachelor's,UX Designer,Bengaluru,Healthcare,45207.96
13.0,63,Female,Master's,Product Manager,Mumbai,Tech,50772.35
7.4,40,Male,Bachelor's,Consultant,Bengaluru,Retail,31394.03
24.6,30,Female,PhD,Product Manager,London,Healthcare,221922.12
24.0,49,Female,Bachelor's,Data Scientist,Seattle,Pharmaceutical,221299.89
20.8,41,Female,Master's,Product Manager,Seattle,Consulting,209880.89
8.2,28,Female,Bachelor's,Data Scientist,Remote_USA,Healthcare,106257.82
17.7,35,Female,Bachelor's,Consultant,Seattle,Tech,183789.8
10.8,30,Female,Bachelor's,Marketing Specialist,Delhi,Manufacturing,25065.5
2.7,40,Female,Master's,Sales Rep,San Francisco,Consulting,139217.82
27.5,35,Female,Bachelor's,UX Designer,Remote_USA,Tech,171426.56
4.1,59,Male,PhD,Cybersecurity Analyst,Toronto,Aerospace,139472.89
28.5,57,Other,Bachelor's,Software Engineer,Bengaluru,Tech,68168.0
13.4,61,Female,High School,Consultant,Remote_India,Tech,36181.17
5.6,38,Female,Bachelor's,Cybersecurity Analyst,San Francisco,Tech,155294.45
16.3,51,Male,Master's,UX Designer,Seattle,Aerospace,213698.53
26.2,30,Male,Master's,Financial Analyst,Remote_Bengaluru,Retail,45471.66
22.0,54,Female,Bachelor's,Cloud Engineer,Remote_India,Pharmaceutical,39459.36
24.2,46,Male,Master's,Data Scientist,Bengaluru,Tech,63403.72
19.8,35,Female,Bachelor's,Financial Analyst,Sydney,Healthcare,136583.54
20.8,32,Female,Master's,Sales Rep,Toronto,Finance,132268.29
25.5,56,Male,Master's,Data Scientist,Tokyo,Media,166878.65
7.5,62,Female,Bachelor's,Teacher/Professor,Bengaluru,Tech,37319.54
14.7,35,Female,Bachelor's,Cybersecurity Analyst,Austin,Tech,164862.6
6.6,51,Female,PhD,Teacher/Professor,Chennai,Tech,34712.54
29.6,62,Female,Master's,Data Scientist,Hyderabad,Government,57161.33
28.3,25,Male,Bachelor's,Software Engineer,San Francisco,Healthcare,231022.86
1.2,25,Female,Bachelor's,Marketing Specialist,Remote_Bengaluru,Healthcare,19364.32
21.2,49,Male,Bachelor's,Software Engineer,New York,Healthcare,212163.08
27.8,29,Female,Bachelor's,HR Manager,Mumbai,Logistics,48372.62
5.4,23,Female,Master's,Financial Analyst,Remote_USA,Government,101591.66
17.0,62,Male,Master's,HR Manager,Remote_India,Consulting,41042.31
27.5,43,Female,Bachelor's,Marketing Specialist,Chicago,Finance,186764.45
1.0,62,Female,Bachelor's,UX Designer,London,Tech,135881.97
20.9,37,Male,Bachelor's,Data Scientist,Delhi,Automotive,44705.32
8.9,50,Other,Bachelor's,Product Manager,Remote_Bengaluru,Healthcare,37522.95
27.7,51,Male,High School,Financial Analyst,Singapore,Finance,212016.97
29.1,33,Male,Bachelor's,HR Manager,Hyderabad,Healthcare,43595.55
28.3,56,Female,High School,Teacher/Professor,Singapore,Aerospace,193944.9
14.2,32,Female,Bachelor's,Consultant,New York,Finance,173257.61
25.9,42,Female,Bachelor's,DevOps Engineer,Remote_USA,Retail,171528.2
25.3,42,Female,Bachelor's,Product Manager,San Francisco,Pharmaceutical,242250.07
9.6,26,Female,High School,Software Engineer,Seattle,Healthcare,124559.05
24.9,41,Female,Bachelor's,Product Manager,London,Tech,217776.79
1.1,58,Male,Bachelor's,Consultant,New York,Food & Beverage,138811.12
17.9,24,Male,Bachelor's,UX Designer,Mumbai,Logistics,36551.09
6.9,65,Male,High School,Teacher/Professor,Delhi,Media,33182.27
3.6,54,Male,Master's,Financial Analyst,Delhi,Consulting,37078.1
2.3,30,Female,PhD,Cloud Engineer,Bengaluru,Finance,36877.19
20.9,30,Male,Master's,Cloud Engineer,Remote_Bengaluru,Aerospace,46739.58
10.2,25,Male,Bachelor's,Software Engineer,San Francisco,Finance,156257.28
21.7,56,Male,Master's,Sales Rep,Chicago,Pharmaceutical,199889.86
2.0,38,Female,Master's,Marketing Specialist,Delhi,Aerospace,30461.5
9.5,55,Female,High School,Data Scientist,Hyderabad,Education,30409.46
16.2,45,Female,Bachelor's,UX Designer,Bengaluru,Pharmaceutical,44965.46
23.7,53,Female,Master's,HR Manager,Berlin,Pharmaceutical,170713.58
9.6,22,Female,Bachelor's,Data Scientist,Bengaluru,Tech,41250.4
18.8,29,Female,High School,Marketing Specialist,Bengaluru,Consulting,41272.14
26.6,44,Male,Master's,Consultant,New York,Tech,255993.06
18.5,61,Female,Master's,Software Engineer,Mumbai,Retail,48729.41
7.0,33,Female,Bachelor's,Sales Rep,Hyderabad,Tech,27543.15
0.7,33,Female,Bachelor's,Data Scientist,San Francisco,Healthcare,118875.39
26.1,36,Female,Bachelor's,Consultant,Chicago,Media,184249.13
0.6,62,Female,Master's,Data Scientist,Remote_Bengaluru,Food & Beverage,35400.52
26.2,40,Female,Bachelor's,Cybersecurity Analyst,Remote_USA,Finance,168966.93
15.9,47,Female,Bachelor's,UX Designer,Seattle,Retail,155252.95
28.2,50,Male,Master's,Data Scientist,Hyderabad,Retail,52613.04
24.0,43,Female,Bachelor's,UX Designer,Austin,Logistics,173532.94
29.9,61,Male,Master's,UX Designer,Toronto,Healthcare,196743.7
10.5,42,Female,Bachelor's,UX Designer,San Francisco,Consulting,169727.57
23.0,59,Female,Bachelor's,Marketing Specialist,Hyderabad,Automotive,47046.12
12.1,41,Male,Master's,Financial Analyst,Mumbai,Finance,44423.54
14.4,50,Female,Bachelor's,Software Engineer,Berlin,Aerospace,154653.94
18.8,25,Male,Bachelor's,Software Engineer,San Francisco,Aerospace,199500.97
26.2,28,Female,Bachelor's,Consultant,Hyderabad,Automotive,43405.56
29.5,49,Male,Master's,Financial Analyst,Delhi,Finance,55395.4
23.0,49,Female,PhD,Product Manager,Mumbai,Healthcare,57702.65
12.5,25,Male,PhD,Teacher/Professor,Mumbai,Government,36409.82
12.6,43,Female,Bachelor's,UX Designer,Remote_India,Finance,26093.39
22.1,33,Male,Bachelor's,Teacher/Professor,Sydney,Education,142812.15
7.2,24,Female,Bachelor's,Product Manager,San Francisco,Tech,134119.23
3.3,43,Female,Master's,Software Engineer,New York,Tech,173288.42
10.6,65,Other,Bachelor's,Cloud Engineer,Remote_Bengaluru,Healthcare,41828.92
8.6,23,Female,PhD,UX Designer,San Francisco,Retail,143280.73
8.9,45,Female,Bachelor's,Teacher/Professor,Singapore,Finance,115842.18
7.0,55,Male,PhD,Product Manager,Chennai,Retail,37221.92
1.3,48,Male,Master's,HR Manager,Chennai,Retail,21709.77
0.5,62,Male,Master's,Cybersecurity Analyst,Austin,Consulting,153173.6
29.6,22,Female,Bachelor's,Software Engineer,Seattle,Education,186283.53
12.8,29,Female,High School,Civil Engineer,Chennai,Healthcare,23604.25
11.5,44,Male,Bachelor's,Financial Analyst,Toronto,Healthcare,116994.89
20.4,59,Female,Bachelor's,Marketing Specialist,Singapore,Tech,196006.94
6.5,27,Female,High School,Financial Analyst,Austin,Retail,89600.74
28.5,43,Female,Bachelor's,Cybersecurity Analyst,San Francisco,Education,233485.43
23.6,46,Male,Bachelor's,Software Engineer,New York,Healthcare,223729.0
2.7,39,Male,Master's,Data Scientist,Berlin,Finance,126990.9
12.5,38,Female,Master's,Cybersecurity Analyst,Chicago,Manufacturing,145592.52
26.4,33,Female,High School,Consultant,New York,Tech,215351.91
28.3,27,Male,PhD,Software Engineer,Seattle,Aerospace,256665.14
14.0,47,Female,Bachelor's,Sales Rep,Remote_USA,Tech,147353.23
18.4,48,Female,Bachelor's,Financial Analyst,Singapore,Logistics,161845.57
5.0,29,Female,Bachelor's,UX Designer,Mumbai,Healthcare,22895.7
29.7,40,Female,Master's,Product Manager,Austin,Healthcare,215433.64
7.0,63,Male,High School,HR Manager,Remote_USA,Finance,124280.81
28.3,22,Male,Bachelor's,Data Scientist,Remote_USA,Tech,175810.05
19.5,50,Female,Master's,Teacher/Professor,New York,Finance,205726.92
18.2,56,Male,Bachelor's,Teacher/Professor,San Francisco,Tech,223896.29
15.4,61,Male,Master's,UX Designer,Hyderabad,Consulting,42848.13
6.9,35,Male,PhD,Product Manager,San Francisco,Finance,200769.36
5.3,56,Male,PhD,Product Manager,Seattle,Pharmaceutical,195064.01
6.6,41,Male,High School,Sales Rep,Remote_USA,Tech,106670.14
5.6,34,Male,Bachelor's,Consultant,Remote_India,Aerospace,23268.84
23.4,59,Male,Bachelor's,Product Manager,Delhi,Retail,48113.57
10.5,29,Male,Bachelor's,Marketing Specialist,Hyderabad,Tech,29964.5
1.7,64,Female,Bachelor's,UX Designer,Delhi,Healthcare,28070.87
29.1,41,Female,Bachelor's,Product Manager,Hyderabad,Tech,49930.36
26.5,54,Female,PhD,Software Engineer,New York,Tech,292430.37
27.8,47,Male,PhD,Software Engineer,Toronto,Retail,192664.29
29.8,60,Male,High School,Data Scientist,San Francisco,Consulting,281151.13
5.2,42,Female,Bachelor's,UX Designer,Bengaluru,Aerospace,33304.1
11.9,63,Female,Bachelor's,Civil Engineer,Remote_India,Retail,34038.07
22.7,64,Female,Bachelor's,Teacher/Professor,Bengaluru,Logistics,52711.16
20.9,62,Male,Master's,Data Scientist,Sydney,Automotive,212307.08
4.6,30,Female,Master's,Data Scientist,Bengaluru,Government,35211.6
24.5,45,Male,Master's,Data Scientist,Berlin,Healthcare,184630.41
6.7,58,Male,Master's,Product Manager,London,Tech,178611.21
6.7,62,Female,Bachelor's,Sales Rep,Singapore,Tech,142098.5
16.1,38,Female,Master's,UX Designer,Toronto,Education,128296.01
17.8,45,Male,Bachelor's,Data Scientist,Toronto,Healthcare,160616.27
17.4,42,Male,Bachelor's,Software Engineer,Remote_India,Tech,38122.18
2.7,60,Female,Bachelor's,Software Engineer,Remote_USA,Healthcare,110042.29
26.3,62,Male,High School,Data Scientist,San Francisco,Tech,269708.35
8.0,60,Male,Bachelor's,Consultant,Hyderabad,Manufacturing,33371.4
3.9,34,Male,Bachelor's,Data Scientist,Tokyo,Tech,80327.37
26.7,32,Female,PhD,Sales Rep,Remote_India,Education,42098.18
28.7,40,Male,Bachelor's,Marketing Specialist,Toronto,Pharmaceutical,165245.77
25.9,32,Other,Bachelor's,Cybersecurity Analyst,Remote_Bengaluru,Tech,49043.32
24.3,34,Female,Bachelor's,Cybersecurity Analyst,Austin,Retail,179184.29
19.7,22,Other,Master's,Consultant,Seattle,Pharmaceutical,187913.81
16.5,61,Female,High School,Software Engineer,Remote_USA,Finance,172731.87
2.6,65,Male,PhD,Financial Analyst,Austin,Tech,179007.02
12.3,40,Male,Master's,Teacher/Professor,Delhi,Finance,37829.83
11.2,33,Male,Bachelor's,Software Engineer,Tokyo,Retail,80544.18
7.8,29,Male,Master's,Financial Analyst,Remote_India,Retail,23782.3
21.7,29,Female,High School,Civil Engineer,Bengaluru,Tech,45690.56
14.9,33,Male,Bachelor's,Sales Rep,New York,Healthcare,143166.52
2.4,54,Male,Master's,Software Engineer,Chicago,Finance,138028.67
6.6,47,Male,High School,Software Engineer,Mumbai,Media,35659.65
20.5,60,Female,Bachelor's,UX Designer,Remote_USA,Finance,168367.56
2.3,49,Male,Bachelor's,Data Scientist,San Francisco,Media,146356.43
